model_family,selected_model_name,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc,test_precision_at_100,test_recall_at_100,test_precision_at_500,test_recall_at_500,test_precision_at_1000,test_recall_at_1000,training_time_seconds
Logistic Regression,logistic_regression_baseline,0.0177568969749369,0.9202335336519096,0.0133786183795272,0.8526622791613859,0.04,0.0701754385964912,0.014,0.1228070175438596,0.012,0.2105263157894736,
CPU XGBoost,xgboost_cpu_medium_spw_ratio_mds1,0.0341218585800143,0.8324613475920072,0.0264682634215917,0.8117437962663074,0.05,0.087719298245614,0.014,0.1228070175438596,0.01,0.175438596491228,6.820242699999653
GPU XGBoost,xgboost_gpu_medium_spw_ratio_mds1,0.0243101681173486,0.8285761433979062,0.0323190987453777,0.8039638637585581,0.05,0.087719298245614,0.014,0.1228070175438596,0.008,0.1403508771929824,2.828796699999657
